,Percentage of Successfully Responded Emergencies
1,76.76912080057183
2,76.98964554141024
3,76.90147909388362
4,76.66661102523493
5,76.69344299990368
6,76.82936617257444
7,76.95373207916727
8,76.98269040116378
9,77.07605441294304
10,76.91639750284563
11,76.8396749982538
12,76.80352441262099
13,76.71269128295302
14,76.7420725615519
15,76.66344254472827
16,76.64945647767797
17,76.60439883780333
18,76.61600542899156
19,76.52560505266291
20,76.53726754626945
21,76.47593146418586
22,76.46671654474805
23,76.48616315836097
24,76.47421072471546
25,76.50559379372164
26,76.50236340228868
27,76.4977905682222
28,76.52394258179844
29,76.58795543542045
30,76.56507692727537
31,76.56968024852932
32,76.54375499708047
33,76.56473108040858
34,76.55449588969127
35,76.51596203964337
36,76.50623540267571
37,76.52577354563674
38,76.55017626128625
39,76.61679232781061
40,76.6279833593455
41,76.6340190465539
42,76.70054292901857
43,76.65363598424598
44,76.64127010504355
45,76.6571190430258
46,76.67981772922974
47,76.6362435004934
48,76.67113880955279
49,76.69066194446893
50,76.69231463047524
51,76.6832713392342
52,76.71422602277777
53,76.7126724273422
54,76.67993976318891
55,76.70023699444278
56,76.72931629525364
57,76.71956586837227
58,76.71814375397602
59,76.7403045184204
60,76.75437551108227
61,76.76209593496512
62,76.78353158586363
63,76.77982569265357
64,76.77930395705673
65,76.7548029940745
66,76.75402730688712
67,76.7624465556761
68,76.7878893829369
69,76.79950758049608
70,76.8071474853348
71,76.81614410959895
72,76.8046753880554
73,76.79159454966945
74,76.7745547086643
75,76.80246024427568
76,76.79798219468721
77,76.79938777575182
78,76.78944265861467
79,76.81052801502352
80,76.81142440711372
81,76.80180016715319
82,76.79430257741497
83,76.78685040144005
84,76.77347200181582
85,76.79413845452302
86,76.78350192580677
87,76.79021937537311
88,76.8001276674751
89,76.79615410077804
90,76.77977678525892
91,76.78719662270439
92,76.79098899283322
93,76.78186186807308
94,76.79469821156704
95,76.79075452231577
96,76.80850315912407
97,76.82739027083817
98,76.82720436240439
99,76.82924255578662
100,76.82696228544148
